date,performance,accessibility,best_practices,seo
2026-03-30,0,0,0,0
2026-03-31,0,0,0,0
2026-04-01,0,0,0,0
2026-04-02,0,0,0,0
2026-04-03,55,100,96,92
2026-04-04,50.91,91.36,89.36,86.82
2026-04-05,49.3,90.7,89.1,89.7
2026-04-06,52.4,90.7,89.1,89.7
2026-04-07,51.7,90.7,89.1,89.7
2026-04-08,46.82,91.36,89.36,86.82
2026-04-09,47.4,90.7,89.1,89.7
2026-04-10,49.7,90.7,89.1,89.7
2026-04-11,50,90.7,89.1,89.7
2026-04-12,55.7,90.9,91,90.4
2026-04-13,54.4,90.9,91,90.4
2026-04-14,52.56,91,90.89,90.22
2026-04-15,53.2,90.7,89.1,89.7
2026-04-16,53.2,90.7,89.1,89.7
2026-04-17,48.44,91.67,90.44,88.56
2026-04-18,55.1,90.7,89.1,88.8
2026-04-19,56,100,96,92
2026-04-20,51.6,90.7,89.1,89.7
2026-04-21,49.8,90.7,89.1,88.9
2026-04-22,49.7,90.7,89.1,88.9
2026-04-23,51.5,90.7,89.1,88.9
2026-04-24,48,100,96,92
2026-04-25,55,100,96,92
2026-04-26,50.5,92,90.6,87.2
2026-04-27,52,100,96,92
2026-04-28,47.78,92.11,90.44,86.78
2026-04-29,0,0,0,0
